"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12718","test_menu_item","","Mon Sep 30 13:59:20 AMT 2024","passed","Mon Sep 30 13:59:32 AMT 2024","","test_main","",""
"","1541","test_add_to_cart","","Mon Sep 30 13:59:41 AMT 2024","passed","Mon Sep 30 13:59:42 AMT 2024","","test_main","",""
"","2202","test_slider_functionality","","Mon Sep 30 13:59:42 AMT 2024","passed","Mon Sep 30 13:59:44 AMT 2024","","test_main","",""
"","1660","test_nested_menu[menu_locator3-submenu_locator3-Windows]","","Mon Sep 30 13:59:37 AMT 2024","passed","Mon Sep 30 13:59:39 AMT 2024","","test_main","",""
"","1810","test_search_product","","Mon Sep 30 13:59:39 AMT 2024","passed","Mon Sep 30 13:59:41 AMT 2024","","test_main","",""
"","1669","test_nested_menu[menu_locator1-submenu_locator1-Mac]","","Mon Sep 30 13:59:34 AMT 2024","passed","Mon Sep 30 13:59:36 AMT 2024","","test_main","",""
"","1101","test_bottom_menu_my_account","","Mon Sep 30 13:59:57 AMT 2024","passed","Mon Sep 30 13:59:58 AMT 2024","","test_main","",""
"","1031","test_wish_list","","Mon Sep 30 13:59:46 AMT 2024","passed","Mon Sep 30 13:59:47 AMT 2024","","test_main","",""
"","1461","test_nested_menu[menu_locator2-submenu_locator2-Macs]","","Mon Sep 30 13:59:36 AMT 2024","passed","Mon Sep 30 13:59:37 AMT 2024","","test_main","",""
"","10216","test_bottom_menu","","Mon Sep 30 13:59:47 AMT 2024","passed","Mon Sep 30 13:59:57 AMT 2024","","test_main","",""
"","1458","test_nested_menu[menu_locator0-submenu_locator0-PC]","","Mon Sep 30 13:59:33 AMT 2024","passed","Mon Sep 30 13:59:34 AMT 2024","","test_main","",""
